City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Iralaya,HN,80.85,clear sky,15.0,-83.2333,Iglesia morava renovada
217,Alta Floresta,BR,80.6,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
223,Nkoteng,CM,72.82,broken clouds,4.5167,12.0333,Sanaga Beach Lodges
225,Catuday,PH,74.73,clear sky,16.2923,119.8062,GResort
227,Aripuana,BR,81.99,light rain,-9.1667,-60.6333,
229,Luba,GQ,78.8,few clouds,3.4568,8.5547,
230,Bengkulu,ID,74.89,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
232,Grande Riviere Du Nord,HT,76.21,scattered clouds,19.5833,-72.1833,La Belle Maison
237,Kaeo,NZ,73.0,clear sky,-35.1,173.7833,Bushido Lodge
240,Kokopo,PG,81.23,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
242,Imbituba,BR,75.2,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
244,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
245,Ahuimanu,US,81.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
246,Pochutla,MX,84.99,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
248,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
249,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
254,Dubreka,GN,77.16,few clouds,9.7911,-13.5233,Hôtel le Semeur Chez Eva
256,Namibe,AO,72.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
259,Bernal,PE,83.21,broken clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
261,Buala,SB,82.08,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
266,Veracruz,MX,73.4,broken clouds,19.3333,-96.6667,El Carrizal
270,Kruisfontein,ZA,71.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
272,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
275,Isangel,VU,84.2,light rain,-19.55,169.2667,Volcano Sea View Tree House
277,Conceicao Da Barra,BR,77.27,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
278,Sao Gabriel Da Cachoeira,BR,78.93,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
279,Sechura,PE,79.34,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
282,Bulungu,CD,72.37,light rain,-4.55,18.6,
286,Kavieng,PG,82.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
289,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
293,Santa Maria,BR,77.0,broken clouds,-29.6842,-53.8069,Hotel Morotin
298,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,Plantation Bed and Breakfast
299,Tutoia,BR,84.2,broken clouds,-2.7619,-42.2744,Pousada Guará's
301,Gamba,GA,74.62,overcast clouds,-2.65,10.0,
305,Cabo San Lucas,MX,75.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
308,Mabaruma,GY,73.18,broken clouds,8.2,-59.7833,
310,Aguadilla,PR,81.0,broken clouds,18.4275,-67.1541,WSSM Surf House
316,Lompoc,US,70.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
320,Beoumi,CI,80.6,few clouds,7.6736,-5.5764,Domicile Mr Atte
324,Mitsamiouli,KM,80.78,few clouds,-11.3847,43.2844,Foyer ADM
325,Sri Aman,MY,71.6,light rain,1.2376,111.4621,Seri Simanggang Hotel
330,Guerrero Negro,MX,72.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
335,Sao Filipe,CV,71.6,few clouds,14.8961,-24.4956,Tortuga B&B
337,Honiara,SB,82.54,light rain,-9.4333,159.95,Heritage Park Hotel
339,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
340,Luis Correia,BR,84.2,broken clouds,-2.8792,-41.6669,Hotel Amarração
341,Axim,GH,79.68,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
344,Soyo,AO,78.82,scattered clouds,-6.1349,12.3689,Hotel Mpampa
345,Moussoro,TD,70.88,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
347,Gorontalo,ID,76.55,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
362,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
365,Makakilo City,US,82.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
372,Noumea,NC,80.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
373,Nisia Floresta,BR,80.6,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
374,Georgetown,MY,78.01,light rain,5.4112,100.3354,Cititel Penang
378,Baculin,PH,78.4,light rain,7.4525,126.5842,Shovy's Cove
380,Alice Town,BS,71.71,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
386,Hienghene,NC,76.71,moderate rain,-20.6833,164.9333,Ka Waboana Lodge
389,Celestun,MX,73.13,broken clouds,20.8667,-90.4,Posada Lilia
394,Basoko,CD,75.61,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
395,Bartica,GY,84.2,few clouds,6.4,-58.6167,Relax Inn Hotel
396,Miragoane,HT,78.58,scattered clouds,18.4423,-73.0876,MMM K-TICHON
407,Brisbane,AU,78.01,few clouds,-27.4679,153.0281,Royal On The Park Brisbane
408,Isla Mujeres,MX,78.8,moderate rain,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
409,Jambi,ID,72.34,moderate rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
411,Urucara,BR,78.58,moderate rain,-2.5364,-57.76,Hotel japa
413,Vila Velha,BR,80.6,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
414,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
417,Vanimo,PG,77.77,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
418,Arlit,NE,70.93,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
420,Maunabo,PR,80.01,clear sky,18.0072,-65.8993,Maunacaribe
422,Tres Arroyos,AR,74.98,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
424,Irituia,BR,74.95,moderate rain,-1.7711,-47.4381,Hotel Irituia
425,Sinnamary,GF,79.16,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Honolulu,US,81.0,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
432,Osorno,CL,75.2,few clouds,-40.5667,-73.15,Sonesta Hotel Osorno
433,Ambon,ID,75.2,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
