City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bijar,IR,2021-01-11 19:44:47,35.8668,47.6051,31.96,72,0,3.94
67,Busselton,AU,2021-01-11 19:44:47,-33.65,115.3333,55.0,78,100,9.71
68,Ponta Do Sol,PT,2021-01-11 19:44:47,32.6667,-17.1,59.0,58,75,10.36
69,Pisco,PE,2021-01-11 19:44:19,-13.7,-76.2167,73.4,73,0,8.05
70,Taoudenni,ML,2021-01-11 19:44:47,22.6783,-3.9836,63.34,28,100,9.86
71,Hryshkivtsi,UA,2021-01-11 19:44:47,49.9353,28.6038,27.43,94,93,3.69
72,Albion,US,2021-01-11 19:41:42,42.2431,-84.753,26.01,86,90,10.36
73,Horta,PT,2021-01-11 19:44:48,38.5333,-28.6333,62.6,94,75,10.36
74,Touros,BR,2021-01-11 19:44:48,-5.1989,-35.4608,84.2,61,40,18.41
75,Rocha,UY,2021-01-11 19:44:48,-34.4833,-54.3333,83.62,56,99,5.77
76,Fort Beaufort,ZA,2021-01-11 19:44:48,-32.7748,26.6338,69.76,84,98,2.42
77,Saint Andrews,US,2021-01-11 19:44:48,34.0454,-81.1293,48.99,61,90,3.44
78,Diplo,PK,2021-01-11 19:44:48,24.4667,69.584,60.01,28,0,9.66
79,Buraydah,SA,2021-01-11 19:44:48,26.326,43.975,55.4,67,0,4.61
80,Bengkulu,ID,2021-01-11 19:44:48,-3.8004,102.2655,75.36,94,100,7.45
81,Bandarbeyla,SO,2021-01-11 19:44:48,9.4942,50.8122,72.63,71,1,23.33
82,Chapais,CA,2021-01-11 19:44:48,49.7834,-74.8492,14.0,92,90,11.5
83,Salalah,OM,2021-01-11 19:44:48,17.0151,54.0924,71.6,24,0,9.22
84,Dzerzhinsk,RU,2021-01-11 19:44:49,56.2389,43.4631,-0.4,85,75,2.24
85,Cidreira,BR,2021-01-11 19:44:49,-30.1811,-50.2056,79.39,81,0,24.38
86,Krasnoselkup,RU,2021-01-11 19:44:49,65.7,82.4667,1.62,93,100,16.67
87,Yar-Sale,RU,2021-01-11 19:44:49,66.8333,70.8333,-8.7,81,100,10.31
88,Longyearbyen,SJ,2021-01-11 19:44:49,78.2186,15.6401,15.8,79,0,9.22
89,Rio Gallegos,AR,2021-01-11 19:44:49,-51.6226,-69.2181,55.4,33,40,24.16
90,Osmaniye,TR,2021-01-11 19:44:49,37.0742,36.2478,61.0,61,100,5.5
91,Sao Filipe,CV,2021-01-11 19:44:49,14.8961,-24.4956,70.86,70,90,18.23
92,Atar,MR,2021-01-11 19:44:49,20.5169,-13.0499,62.51,37,100,11.5
93,Lagoa,PT,2021-01-11 19:44:49,39.05,-27.9833,61.84,93,100,14.97
94,Bambous Virieux,MU,2021-01-11 19:44:50,-20.3428,57.7575,79.0,100,75,16.11
95,Rincon,US,2021-01-11 19:44:50,32.296,-81.2354,57.99,67,90,3.44
96,Havelock,US,2021-01-11 19:44:50,34.8791,-76.9013,53.01,62,40,4.61
97,Saint-Philippe,RE,2021-01-11 19:44:50,-21.3585,55.7679,78.8,89,90,2.3
98,Springbok,ZA,2021-01-11 19:44:50,-29.6643,17.8865,70.2,41,0,5.03
99,Bonthe,SL,2021-01-11 19:44:50,7.5264,-12.505,78.87,82,48,7.67
100,Visnes,NO,2021-01-11 19:44:50,59.3556,5.2242,30.2,86,14,3.44
101,Codrington,AU,2021-01-11 19:44:50,-38.2667,141.9667,58.05,71,100,12.44
102,Tchibanga,GA,2021-01-11 19:44:50,-2.85,11.0333,73.06,98,100,2.35
103,Sabha,LY,2021-01-11 19:44:50,27.0377,14.4283,68.86,22,91,8.81
104,Jibuti,DJ,2021-01-11 19:44:51,11.5,42.5,66.45,82,0,17.56
105,Fredericton,CA,2021-01-11 19:44:51,45.9454,-66.6656,30.2,47,1,6.91
